Insertion,Frequency,Orientation
1481,7,plus
2735,112,plus
2746,34,plus
2779,22,plus
5284,10,minus
5320,8,minus
5321,7,minus
5332,18,minus
5337,5,minus
5343,10,plus
5349,11,minus
5351,10,minus
5353,5,plus
5361,1,minus
5373,619,plus
5376,22,minus
5381,49,minus
5386,11,minus
5386,210,plus
5393,707,plus
5394,615,plus
5401,33,minus
5402,10,minus
5418,1,minus
5422,2,plus
5423,31,minus
5427,11,minus
5429,526,plus
5435,1,plus
5437,145,minus
5441,87,minus
5443,1,minus
5447,255,plus
5469,4,minus
5476,41,plus
5479,12,minus
5481,951,plus
5482,106,plus
5488,3,plus
5489,118,minus
5490,47,minus
5494,43,plus
5497,79,minus
5502,35,minus
5504,4,minus
5518,28,minus
5519,196,plus
5526,4596,plus
5534,1848,minus
5537,179,plus
5544,45,minus
5545,3,minus
5550,131,minus
5550,27,plus
5553,209,minus
5563,149,plus
5571,165,minus
5582,19,plus
5587,72,plus
5590,731,minus
5599,6,plus
5600,290,minus
5602,1,plus
5605,1523,minus
5607,488,plus
5610,1220,minus
5615,755,minus
5616,251,plus
5617,566,minus
5618,107,plus
5620,663,minus
5624,1,minus
5625,1,minus
5626,340,minus
5628,103,plus
5631,3,plus
5638,52,plus
5639,335,plus
5645,185,plus
5646,59,minus
5647,298,minus
5647,228,plus
5648,128,minus
5653,1278,minus
5654,2,minus
5655,2287,minus
5657,4,plus
5665,1699,minus
5675,55,plus
5676,4,plus
5683,4,minus
5687,29,plus
5692,3,plus
5700,328,minus
5701,21,plus
5706,13,minus
5709,1242,minus
5711,1021,minus
5711,4,plus
5724,1404,minus
5727,76,plus
5728,114,plus
5729,5,minus
5730,8,plus
5732,101,plus
5734,801,minus
5735,1319,minus
5740,666,minus
5745,801,minus
5745,64,plus
5747,110,plus
5751,19,plus
5753,1269,minus
5755,37,plus
5772,74,plus
5777,41,plus
5781,2,minus
5786,68,minus
5787,85,plus
5793,3,plus
5795,11,minus
5795,170,plus
5796,1437,minus
5796,346,plus
5803,3835,minus
5803,226,plus
5804,12032,minus
5806,1,minus
5808,41,plus
5811,876,minus
5816,2919,minus
5821,3,minus
5821,183,plus
5824,4847,minus
5827,1,minus
5829,2993,minus
5846,243,minus
5847,1,minus
5848,2,minus
5863,25,plus
5865,640,minus
5866,1,minus
5867,22,plus
5875,3987,minus
5876,146,minus
5885,22,plus
5887,2825,minus
5889,71,plus
5892,11,plus
5893,101,minus
5894,73,plus
5902,7849,minus
5915,1903,minus
5930,2,plus
5943,22,minus
5944,10,minus
5949,55,plus
5953,102,plus
5954,20,plus
5964,134,plus
5966,14,minus
5967,25,minus
5971,5,plus
5972,33,minus
5987,1,minus
6026,14,plus
6036,35,minus
6037,15,minus
6052,111,plus
6074,2,plus
6080,1,plus
6105,1,minus
6162,18,plus
6196,95,minus
6225,202,minus
6236,10,plus
6244,497,minus
6248,23,plus
6256,335,minus
6274,74,minus
6308,3,minus
6317,58,minus
6329,803,minus
6353,53,plus
6400,22,plus
6416,10,plus
6450,3,minus
6468,16,minus
6497,4,plus
6505,7,minus
6516,33,minus
6521,20,minus
6546,18,minus
6551,9,minus
6558,14,plus
6563,8,plus
6571,20,minus
6668,230,minus
6726,11,plus
6739,20,minus
6746,38,plus
6775,211,minus
6786,10,minus
6798,106,plus
6800,89,plus
6806,1,minus
6817,27,plus
6826,4,plus
6834,88,minus
6863,5,minus
6956,52,plus
6990,3,plus
7018,22,plus
7039,1,minus
7104,9,plus
7110,3,minus
7151,34,minus
7175,47,minus
7188,43,minus
7197,4,plus
7244,3,plus
7252,17,minus
7270,264,plus
7272,8,plus
7278,6,minus
7285,24,minus
7285,515,plus
7292,59,plus
7300,15,minus
7302,3,plus
7314,314,plus
7316,3,plus
7322,4,plus
7323,6,plus
7326,128,plus
7341,4,minus
7360,15,plus
7396,18,minus
7464,49,minus
7469,2,minus
7476,9,plus
7484,74,minus
7487,89,plus
7488,150,plus
7495,26,minus
7496,67,minus
7500,2,plus
7505,6,plus
7508,32,minus
7510,17,plus
7513,25,minus
7534,1,plus
7551,27,minus
7580,2,minus
7582,7,plus
7625,37,minus
7658,43,plus
7666,193,minus
7668,25,plus
7675,26,minus
7676,44,minus
7711,48,minus
7718,3,plus
7727,2,plus
7750,226,minus
7760,1,plus
7761,244,plus
7776,1,plus
7777,1,minus
7781,138,minus
7790,2,plus
7791,152,minus
7798,1,minus
7808,1,minus
7826,2,minus
7855,254,minus
7861,1,minus
7911,36,plus
7913,23,plus
7918,12,plus
7934,8,plus
7936,152,minus
7943,29,plus
7949,158,minus
7951,445,minus
7953,5,plus
7961,163,minus
7977,174,minus
8007,17,plus
8031,258,minus
8049,70,minus
8065,21,plus
8070,3,plus
8073,403,minus
8079,393,minus
8102,448,minus
8113,99,minus
8140,8,minus
8142,4,plus
8150,2470,minus
8171,1,plus
8201,2,minus
8218,1,plus
8226,2,plus
8228,33,minus
8232,7,plus
8246,7,plus
8262,10,minus
8267,15,minus
8268,38,plus
8276,26,minus
8322,80,plus
8330,625,minus
8339,11,plus
8341,58,minus
8342,96,minus
8382,2,plus
8384,1,plus
8399,7,plus
8404,80,plus
8407,282,minus
8412,314,minus
8437,11,plus
8445,106,minus
8449,1,minus
8458,34,plus
8466,136,minus
8473,400,plus
8481,1338,minus
8487,115,plus
8506,81,minus
8533,96,minus
8542,536,plus
8547,142,plus
8549,992,plus
8550,9,minus
8557,303,minus
8564,146,plus
8570,70,minus
8572,383,minus
8593,305,plus
8607,67,minus
8617,1,plus
8642,144,plus
8654,119,plus
8655,48,plus
8657,92,plus
8661,6,minus
8662,43,minus
8663,33,minus
8665,7,minus
8666,16,plus
8685,71,plus
8686,26,plus
8693,248,minus
8700,44,plus
8723,48,minus
8728,5,plus
8733,8,plus
8738,3,plus
8744,11,plus
8746,55,minus
8754,26,plus
8759,2,plus
8767,109,minus
8768,54,minus
8777,87,plus
8778,42,plus
8783,30,plus
8785,314,minus
8786,290,minus
8789,4,plus
8791,68,minus
8793,3,plus
8802,4,plus
8806,316,minus
8809,36,minus
8812,13,minus
8817,3,plus
8818,9,minus
8825,138,minus
8832,21,plus
8840,5,minus
8847,73,plus
8855,1,minus
8860,3,plus
8867,87,minus
8868,214,minus
8893,3,plus
8895,15,plus
8898,2,plus
8901,16,minus
8903,4,plus
8904,25,plus
8908,5,plus
8937,15,minus
8947,5,plus
8954,1036,minus
8955,33,minus
8956,5,plus
8962,6,plus
8970,157,minus
8971,173,plus
8974,128,plus
8977,45,minus
8977,105,plus
8982,1,plus
8984,1576,plus
8992,430,minus
8995,230,plus
8997,103,minus
9006,230,plus
9008,368,plus
9013,485,minus
9014,464,plus
9015,213,plus
9017,3,plus
9018,798,plus
9025,238,minus
9026,579,minus
9029,1,plus
9033,33,minus
9037,8,minus
9038,1,plus
9048,214,plus
9051,20,plus
9053,1,plus
9056,203,minus
9056,1150,plus
9057,90,plus
9058,921,plus
9059,144,plus
9061,209,plus
9064,72,minus
9064,277,plus
9066,287,minus
9066,77,plus
9067,2,plus
9071,135,plus
9072,97,minus
9074,16,minus
9076,2,plus
9077,926,plus
9079,4,minus
9084,2,minus
9085,271,minus
9087,124,plus
9088,189,minus
9098,1,plus
9102,115,plus
9106,305,minus
9110,1,minus
9116,2,plus
9117,21,minus
9118,59,plus
9124,419,minus
9125,59,minus
9126,18,plus
9134,491,plus
9139,1666,plus
9143,14,minus
9144,14992,plus
9147,170,minus
9150,889,plus
9152,748,minus
9155,1088,plus
9157,263,plus
9158,4,minus
9163,104,minus
9164,269,minus
9168,726,plus
9169,18,plus
9173,1087,plus
9175,43,minus
9178,4,plus
9183,1082,plus
9186,8,minus
9191,278,minus
9192,30,plus
9202,1201,plus
9210,26,minus
9217,655,plus
9218,176,plus
9225,4,minus
