Insertion	Frequency
5276	8
5313	1
5324	1
5329	2
5341	1
5343	10
5368	5
5373	25
5378	2
5393	29
5415	8
5419	7
5429	119
5433	120
5461	2
5471	13
5481	74
5482	16
5489	46
5494	46
5496	8
5510	16
5526	1255
5531	1
5536	43
5537	1
5542	78
5545	151
5563	125
5582	854
5597	1907
5602	930
5607	805
5609	617
5612	700
5618	493
5638	42
5639	436
5640	207
5645	1612
5647	2792
5657	2441
5675	1
5692	229
5698	31
5701	48
5703	1270
5711	1
5716	1621
5721	1
5726	1079
5727	1595
5732	755
5737	761
5745	1159
5778	8
5787	30
5788	1326
5795	2734
5796	7186
5797	1
5803	544
5808	2469
5816	3813
5819	1
5821	2642
5838	155
5839	4
5840	1
5857	471
5867	3426
5868	278
5879	2015
5880	1
5885	51
5894	5713
5907	983
5935	12
5936	5
5958	10
5964	39
5979	1
6028	18
6029	19
6188	145
6236	459
6248	292
6266	28
6273	2
6285	1
6300	4
6309	126
6321	1152
6442	9
6460	13
6497	3
6508	43
6513	14
6538	30
6543	18
6563	31
6660	348
6661	1
6682	14
6731	32
6760	1
6777	1
6778	1
6956	5
7031	1
7071	1
7102	3
7143	14
7167	5
7180	1
7270	2
7277	1
7292	5
7333	1
7388	30
7456	46
7461	23
7476	60
7487	10
7488	113
7500	23
7505	25
7543	133
7617	60
7658	187
7667	39
7668	64
7703	54
7742	269
7773	153
7843	1
7847	366
7848	1
7928	93
7943	404
7953	199
7969	45
8023	107
8041	21
8065	110
8071	336
8094	192
8105	82
8142	310
8193	8
8220	13
8254	24
8259	11
8268	41
8322	661
8323	3
8333	54
8334	166
8399	427
8404	481
8437	87
8458	103
8473	1134
8498	90
8525	87
8542	9
8549	43
8564	356
8599	47
8617	6
8654	39
8655	19
8657	13
8685	192
8754	1
8759	103
8760	7
8777	317
8778	262
8783	106
8798	455
8801	68
8810	25
8832	6
8847	7
8859	636
8860	71
8893	17
8929	17
8946	232
8952	1
8962	249
8971	4
8982	1
8984	462
8989	109
9000	1
9005	1
9017	121
9018	521
9025	64
9029	13
9048	328
9056	63
9058	96
9064	95
9066	17
9071	11
9077	242
9091	3
9098	215
9106	17
9116	624
9117	108
9123	2
9135	11
9139	36
9144	528
9155	118
9156	219
9167	115
9178	20
9183	241
9202	14
9217	3
9218	62
9219	6
9220	1
9231	21
9232	33
9261	15
9291	60
9292	9
9322	17
9340	10
9359	4
9362	10
9382	3
9386	9
9400	2
9406	5
9407	13
9414	21
9415	81
9425	52
9437	10
9442	665
9444	137
9452	68
9458	86
9460	56
9476	14
9479	13
9484	45
9489	182
9509	195
9510	43
9533	8
9543	1
9545	87
9576	172
9588	160
9590	471
9592	11
9615	99
9637	119
9643	629
9648	112
9667	365
9674	259
9677	49
9678	327
9681	1
9682	1488
9689	669
9696	227
9702	2275
9703	834
9708	444
9709	667
9719	587
9721	313
9725	1
9729	1109
9734	19
9738	1425
9739	3699
9740	2681
9744	1081
9745	240
9749	3
9755	791
9761	1121
9763	3441
9764	797
9765	1
9769	1979
9771	1456
9772	1
9774	1
9779	384
9784	8331
9786	3327
9787	1
9788	1
9789	325
9797	480
9798	49
9799	1584
9800	523
9802	419
9805	5507
9809	1
9810	4
9811	32530
9812	5
9815	1493
9816	1690
9818	901
9820	5723
9821	85
9822	1127
9825	28
9826	283
9827	3
9830	2633
9836	2526
9837	1982
9838	764
9840	2
9849	547
9862	406
9889	41
9890	460
9892	151
9894	90
9895	26
9900	80
9902	16
9905	16
9910	645
9917	2
9926	546
9929	274
9958	447
9960	45
9965	7
9969	178
9970	168
9980	20
9981	27
9986	3
9987	5
9992	19
9993	29
9994	19
9998	7
10000	14
10004	1
10005	14
10006	11
10007	5
10008	2
10013	4
10018	32
10023	37
10024	13
10034	17
10040	29
10045	11
10055	86
10056	2
10057	31
10061	2
10063	3
10096	2
10112	47
10113	28
10114	10
10116	1
10123	41
10124	6
10134	22
10148	4
10157	13
10159	12
10164	135
10169	59
10194	15
10201	9
10202	22
10203	53
10213	165
10220	40
10223	1
10239	2
10254	370
10255	37
10264	24
10269	56
10274	16
10275	9
10285	2
10286	62
10287	339
10292	7
10297	9
10311	76
10316	185
10326	17
10335	3
10340	6
10345	13
10352	4
10354	2
10367	8
10377	19
10380	19
10392	28
10402	33
10411	12
10416	20
10421	95
10426	14
10428	10
10434	1
10442	72
10452	128
10463	22
10466	233
10468	1
10473	109
10476	2
10486	6
10497	10
10516	78
10517	2
10518	11
10527	46
10537	32
10561	2
10571	28
10585	34
10594	3
10599	25
10601	1
10620	1
10632	4
10648	1
10663	8
10682	9
10700	3
10710	5
10717	1
10722	6
10731	2
10740	3
10759	2
10794	3
10799	1
10809	3
10843	2
10861	48
10862	6
10866	5
10890	3
10908	11
10913	3
10921	2
10923	7
10926	2
10945	11
10951	42
10955	2
10960	37
10962	36
10972	154
10979	310
10987	67
10989	329
11008	145
11022	97
11037	240
11042	46
11056	58
11070	1
11082	22
11088	978
11089	1
11095	62
11101	26
11103	250
11109	2
11112	243
11117	239
11119	1
11131	389
11136	1409
11141	160
11150	1268
11153	62
11158	1531
11160	113
11172	1
11173	5751
11189	30
11200	1
11205	3682
11212	64
11213	255
11214	175
11251	3
11256	5
11263	4
11273	5
11280	5
11303	18
11310	45
11315	6
11330	5
11332	31
11340	11
11341	2
11356	6
11371	2
11386	17
11387	65
11393	15
11435	41
11445	19
11452	10
11472	19
11491	1
11509	2
11511	2
11519	2
11580	12
11584	1
11603	1
11604	184
11614	7
11627	1
11675	8
11681	1
11682	36
11692	3
11710	1
11722	11
11831	96
11842	70
11847	3
11913	4
11934	1
11956	1
12105	1
12176	63
12237	80
12265	295
12270	31
12335	19
12343	3
12432	17
12608	1
12682	1
12704	43
12792	59
12825	35
12830	10
12841	31
12843	59
12848	19
12884	24
12931	87
12955	65
13006	294
13033	185
13133	2
13217	2
13331	6
13359	8
13388	5
13392	13
13430	260
13434	70
13535	491
13630	1
13708	16
13714	6
13770	141
14048	5
14063	1
14230	1
14254	3
14418	1
14571	11
14573	7
14581	45
14605	3
14666	7
14673	8
14691	103
14707	68
14713	20
14722	8
14772	8
14801	2
14818	233
14826	5
14846	141
14847	185
14880	436
14902	7
14938	1
14998	1
15210	11
15255	45
15604	1
15727	5
16269	12
17992	1
18351	52
19296	16
20477	79
20761	27
21101	29
21120	7
21157	219
21195	45
21209	240
21228	76
21697	1
22401	4
23160	4
23165	32
23177	9
23316	1
23318	124
23396	3
23415	6
23467	1
23741	110
23752	3
24241	4
24268	44
25728	1
27797	1
27969	75
28750	8
29440	1
29720	7
30935	53
30946	14
30961	104
30971	18
31266	6
31470	6
31532	7
31538	2
32919	3
34130	1
34465	6
34802	105
35107	4
35314	5
36169	41
38496	5
38511	3
39135	1
41642	3
42061	69
42209	25
42469	4
43052	8
43097	1
43107	9
43521	267
43566	25
43668	87
43669	27
43750	31
43871	13
43979	3
44010	1
44106	2
44117	2
44123	1
44170	124
44237	2
44316	19
44323	47
44347	76
44371	92
44530	4
44601	4
44666	8
44674	57
44684	44
44798	50
44800	77
44822	138
44836	85
44837	33
44856	42
44891	55
44946	58
45020	24
45035	5
45041	4
45160	5
45243	6
45274	32
45280	8
45594	1
45777	2
45804	37
46102	38
46411	1
46437	18
46740	3
47008	7
47521	1
47814	4
48744	5
49403	10
51956	1
53386	2
53512	52
56426	1
56633	8
58758	12
61196	22
64135	3
65527	48
67505	10
68669	3
71305	15
73455	71
73460	3
73923	3
75717	11
80869	3
83478	3
83916	1
87063	49
89684	19
90026	9
90167	1
91272	2
91479	8
91896	1
91912	1
92051	27
92191	5
92516	5
92872	11
94275	1
94372	3
94388	1
94391	98
95010	18
95160	4
95189	4
95811	24
95851	19
96256	6
96331	49
96908	3
96918	2
96920	14
96921	16
96976	63
96987	224
96999	4
97010	104
97018	222
99328	2
99900	3
100115	2
102449	5
106002	28
106702	14
108693	3
111526	1
111576	18
111684	1
111801	1
111992	12
112260	10
112318	36
116253	3
117324	1
117341	4
117411	5
117603	3
118188	6
118226	11
118351	84
118454	7
120088	9
120316	20
121762	2
121773	25
123717	1
123786	14
124215	3
124255	8
125611	7
125759	4
125895	6
129563	5
131824	7
132839	1
133014	16
133052	1
133096	6
133754	5
134245	2
134332	50
134757	1
134789	1
135183	9
135258	19
135455	6
135795	2
136514	25
136540	28
136548	6
136905	5
137056	3
137059	30
137078	65
137541	10
137966	58
138001	8
138044	6
138126	1
138202	40
138552	3
138936	16
138970	6
138980	74
142139	23
142298	3
142313	2
142835	15
142841	7
143101	4
144806	131
145348	3
149969	1
150322	53
150941	14
151465	29
151576	30
151956	5
153344	1
153656	7
154308	13
157735	13
157909	40
158589	1
159227	217
159793	1
166474	79
168763	1
169048	4
169388	1
169611	16
171349	146
171395	218
171431	139
171474	180
171492	301
178885	4
179310	6
180304	1
180552	3
180988	1
181997	5
182579	126
183556	146
184201	1
184765	10
184818	5
185058	15
185907	2
187784	25
196252	13
196399	8
196890	14
196933	3
197080	1
197259	3
197464	14
197735	6
197886	51
197971	1
198354	2
198627	1
198772	1
200925	5
201114	5
201490	17
201814	1
201994	1
202090	9
202173	6
202522	35
202532	104
202791	2
202808	5
203028	18
203189	19
203411	116
203923	15
204247	4
204718	65
204756	7
204781	53
204783	5
204791	263
204801	140
204850	129
204855	31
204910	91
204926	99
204932	59
204937	166
204939	67
204981	63
204982	32
205004	48
205010	141
205012	151
205015	177
205020	1
205030	172
205057	1841
205058	1
205073	334
205074	287
205079	224
205112	425
205117	99
205125	1329
205130	3372
205137	1523
205139	489
205162	2338
205181	625
205186	1076
205192	408
205196	520
205206	1016
205215	2315
205244	7698
205245	1
205259	33896
205260	1
205276	33916
205278	6093
205303	1994
205309	1139
205326	10097
205328	24591
205330	1
205332	15565
205333	1
205334	2507
205365	2
205399	5
205408	3
205414	2
205421	9
205431	1
205446	13
205447	19
205452	11
205457	7
205459	28
205489	87
205503	17
205504	2
205522	11
205528	1
205534	26
205535	86
205539	3
205540	308
205545	41
205547	37
205566	16
205583	183
205593	81
205601	40
205607	89
205608	117
205644	108
205658	281
205665	223
205673	164
205679	45
205681	531
205687	46
205701	1
205727	224
205737	171
205738	640
205786	291
205787	615
205797	54
205804	49
205805	80
205814	53
205816	7
205846	18
205850	29
205857	16
205905	2
205945	1
205958	7
205979	34
205990	215
205991	48
205999	20
206005	3
206013	19
206021	31
206028	16
206039	14
206044	259
206074	19
206081	217
206102	27
206112	10
206115	23
206117	99
206125	98
206149	99
206154	143
206177	83
206185	938
206187	298
206202	335
206207	163
206209	594
206225	71
206239	60
206245	420
206256	386
206274	1071
206285	113
206292	6
206310	22
206344	201
206368	398
206375	78
206377	10
206392	73
206397	40
206407	160
206414	55
206417	318
206427	1
206430	211
206471	66
206507	5
206555	38
206569	1
206574	1
206623	3
206653	22
206660	3
206672	9
206674	4
206679	12
206710	2
206718	145
206728	44
206738	38
206755	589
206760	211
206765	61
206769	165
206770	46
206774	519
206779	12
206797	81
206831	59
206836	45
206842	249
206849	138
206871	219
206880	182
206914	413
206938	354
206953	1612
206996	2
207003	1
207006	753
207013	3378
207051	7031
207089	1
207090	14
207095	1
207098	5
207112	16
207152	10
207153	8
207175	19
207177	22
207199	53
207209	17
207231	15
207235	13
207240	88
207241	123
207246	10
207251	8
207273	23
207279	46
207280	23
207297	49
207302	57
207316	11
207339	1
207341	30
207347	8
207377	266
207379	51
207385	58
207393	122
207394	49
207401	52
207422	73
207444	17
207464	1
207469	105
207474	28
207480	1
207489	185
207494	588
207499	254
207505	28
207516	319
207517	620
207542	7
207553	608
207566	23
207574	104
207576	39
207581	44
207582	131
207586	34
207589	30
207606	136
207611	71
207613	168
207618	512
207621	85
207623	20
207637	61
207657	9
207676	1
207687	43
207691	49
207693	34
207694	59
207701	36
207703	33
207705	104
207710	370
207712	26
207722	7
207727	115
207736	211
207743	1
207745	104
207751	25
207765	271
207766	36
207782	403
207795	45
207799	573
207801	387
207806	10
207822	350
207850	1
207855	241
207863	7
207870	20
207875	67
207886	25
207894	1320
207901	80
207904	786
207911	1
207916	62
207944	52
207947	29
207955	25
207959	25
207963	15
207981	1
207982	61
207992	12
207998	55
208009	16
208022	119
208032	5
208034	43
208036	63
208049	525
208056	2
208057	35
208069	52
208071	54
208081	38
208087	4
208118	203
208152	439
208171	202
208180	90
208186	930
208197	76
208198	40
208208	45
208227	24
208237	275
208240	170
208256	35
208265	81
208278	40
208279	292
208283	908
208284	709
208299	206
208314	32
208322	44
208327	86
208335	140
208339	33
208344	55
208347	67
208352	56
208357	91
208359	503
208396	67
208397	24
208405	93
208421	105
208422	15
208435	1392
208439	142
208457	56
208467	5
208493	24
208496	86
208503	17
208506	9
208539	142
208543	36
208549	328
208550	761
208563	14
208572	269
208579	5
208586	1
208603	3
208630	226
208632	74
208649	110
208661	858
208663	133
208667	156
208669	226
208675	1242
208695	335
208700	494
208708	91
208714	442
208715	610
208730	14
208732	923
208750	1663
208757	138
208785	612
208790	2091
208809	249
208828	1220
208834	559
208835	180
208868	435
208891	182
208901	553
208914	612
208924	1001
208936	949
208941	135
208946	4722
208948	1
208951	1432
208956	382
208964	705
208979	379
208989	1266
209012	42
209013	4
209015	375
209028	113
209029	103
209055	108
209065	53
209119	1
209140	4
209167	8
209184	1
209192	1
209208	6
209219	15
209237	3
209252	2
209265	7
209266	5
209349	7
209356	180
209363	7
209373	200
209380	229
209413	31
209420	18
209480	75
209505	21
209515	167
209517	33
209520	105
209554	1
209564	57
209613	400
209623	701
209641	621
209649	165
209675	290
209676	1
209689	230
209691	526
209694	1045
209699	1724
209731	664
209739	387
209746	385
209758	427
209766	150
209768	2
209776	2447
209786	1200
209787	191
209803	83
209818	14
209822	3
209840	2
209869	3
209875	7
209889	1
209902	1
209926	1
209937	137
209985	309
210103	79
210162	43
210178	49
210226	193
210244	576
210272	19
210277	18
210282	42
210291	16
210307	282
210325	21
210364	115
210378	14
210395	82
210408	22
210417	27
210418	3
210420	1
210479	9
210495	8
210535	10
210582	48
210638	142
210661	5040
210682	1790
210706	1860
210718	385
210741	1913
210760	9
210773	32
210795	20
210829	22
210864	7
210882	3
211025	66
211080	77
211107	369
211149	11
211154	1
211181	813
211192	192
211203	1358
211209	88
211221	135
211251	1
211253	50
211288	6
211511	1
211545	2
211589	1
211698	2
211714	7
211764	10
211766	9
211797	9
211852	34
212106	9
212238	2
212369	19
213401	2
213676	2
218690	18
219206	1
219212	1
220277	5
221672	19
222039	2
224229	44
224399	1
225896	5
225975	4
225991	1
227995	3
229451	1
229538	8
