Insertion,Frequency,Orientation
1456,20,plus
1493,5,plus
2736,89,plus
2746,28,plus
2759,1,plus
2772,13,plus
2784,20,plus
2809,5,plus
5284,2,minus
5321,15,minus
5329,1,plus
5335,4,plus
5338,21,minus
5341,3,plus
5348,11,plus
5349,12,minus
5353,7,plus
5361,5,minus
5368,294,plus
5373,173,plus
5381,11,minus
5386,2,plus
5393,1391,plus
5394,1052,plus
5400,2,minus
5401,130,minus
5401,114,plus
5411,108,plus
5415,95,plus
5419,9,minus
5429,712,plus
5435,903,plus
5443,104,minus
5469,4,minus
5471,93,plus
5481,1062,plus
5482,142,plus
5489,148,minus
5490,57,minus
5502,29,minus
5502,118,plus
5509,67,minus
5510,1,plus
5511,46,plus
5512,262,plus
5516,21,plus
5517,74,plus
5520,563,plus
5526,4762,plus
5528,103,minus
5530,1,minus
5531,268,plus
5534,2634,minus
5537,281,plus
5539,80,minus
5541,18,plus
5545,31,minus
5552,1,minus
5552,44,plus
5560,95,minus
5563,100,plus
5571,235,minus
5577,56,plus
5582,57,plus
5590,362,minus
5591,20,plus
5592,1,minus
5592,77,plus
5595,37,minus
5596,261,minus
5597,274,plus
5599,40,plus
5600,632,minus
5605,1345,minus
5607,162,plus
5610,664,minus
5615,507,minus
5616,32,plus
5618,32,plus
5620,197,minus
5624,494,minus
5638,35,plus
5639,4,minus
5639,174,plus
5640,79,plus
5645,1,plus
5646,6,minus
5647,152,plus
5648,226,minus
5652,98,plus
5653,389,minus
5655,1596,minus
5656,111,plus
5660,360,minus
5675,434,plus
5683,981,minus
5684,2,minus
5686,177,plus
5694,91,minus
5698,15,plus
5701,70,plus
5706,1,minus
5709,1475,minus
5711,1,minus
5711,110,plus
5716,4,plus
5719,241,minus
5721,301,plus
5727,52,plus
5729,113,minus
5735,1969,minus
5736,1150,minus
5737,15,plus
5740,3,minus
5740,47,plus
5745,124,plus
5746,13,plus
5748,2,minus
5753,1,minus
5754,730,minus
5755,1610,minus
5755,40,plus
5756,153,plus
5763,63,minus
5764,1,minus
5770,65,plus
5772,148,plus
5778,1492,minus
5780,2,minus
5785,19,minus
5786,268,minus
5795,1421,minus
5795,154,plus
5796,487,minus
5796,545,plus
5803,9326,minus
5803,109,plus
5804,7550,minus
5806,2,minus
5808,108,plus
5811,7758,minus
5815,1751,minus
5816,62,minus
5816,189,plus
5821,63,plus
5824,3209,minus
5829,4043,minus
5832,1,plus
5837,155,minus
5845,4,minus
5846,1223,minus
5847,1663,minus
5848,1,minus
5867,63,plus
5875,2061,minus
5876,320,minus
5879,1,plus
5882,1,minus
5885,53,plus
5887,1993,minus
5892,1072,minus
5893,1081,minus
5894,160,plus
5899,57,minus
5902,7640,minus
5903,1,minus
5915,1,minus
5924,1,plus
5930,65,plus
5936,2,minus
5936,27,plus
5938,1,minus
5944,4,minus
5946,128,plus
5953,5,plus
5954,31,plus
5959,134,plus
5962,1,minus
5964,51,plus
5967,9,minus
5972,21,minus
5990,7,minus
6028,48,plus
6034,27,minus
6036,58,minus
6045,1,plus
6057,149,plus
6058,6,plus
6060,2,minus
6070,33,minus
6071,56,minus
6082,10,minus
6103,52,minus
6104,10,minus
6105,24,minus
6121,122,plus
6131,1,minus
6158,61,minus
6163,27,minus
6184,6,plus
6192,245,minus
6206,5,plus
6214,73,minus
6217,14,plus
6225,58,minus
6230,2,minus
6244,117,minus
6248,14,plus
6256,56,minus
6266,3,plus
6281,33,minus
6309,10,plus
6317,157,minus
6338,3,plus
6343,2,plus
6352,22,plus
6353,8,plus
6362,21,plus
6431,6,minus
6445,3,minus
