Insertion,Frequency,Orientation
1481,5,plus
2735,9,plus
2746,8,plus
2779,7,plus
5284,8,minus
5321,1,minus
5332,1,minus
5337,2,minus
5343,10,plus
5349,1,minus
5351,10,minus
5353,11,plus
5376,5,minus
5381,25,minus
5386,2,minus
5386,598,plus
5393,1436,plus
5394,1014,plus
5401,29,minus
5422,4,plus
5423,8,minus
5427,7,minus
5429,827,plus
5437,119,minus
5441,120,minus
5447,408,plus
5469,2,minus
5476,54,plus
5479,13,minus
5481,1772,plus
5482,286,plus
5488,1,plus
5489,74,minus
5490,16,minus
5494,141,plus
5497,46,minus
5502,46,minus
5504,8,minus
5518,16,minus
5519,71,plus
5526,5677,plus
5534,1255,minus
5539,1,minus
5544,43,minus
5545,1,minus
5550,78,minus
5553,151,minus
5563,41,plus
5571,125,minus
5582,21,plus
5587,75,plus
5590,854,minus
5599,9,plus
5605,1907,minus
5607,352,plus
5610,930,minus
5615,805,minus
5616,187,plus
5617,617,minus
5618,74,plus
5620,700,minus
5626,493,minus
5628,31,plus
5638,43,plus
5639,182,plus
5645,38,plus
5646,42,minus
5647,436,minus
5647,195,plus
5648,207,minus
5653,1612,minus
5655,2792,minus
5657,1,plus
5665,2441,minus
5675,67,plus
5683,1,minus
5687,11,plus
5700,229,minus
5701,43,plus
5706,31,minus
5709,48,minus
5711,1270,minus
5711,8,plus
5719,1,minus
5724,1621,minus
5727,56,plus
5728,71,plus
5729,1,minus
5730,2,plus
5732,98,plus
5734,1079,minus
5735,1595,minus
5740,755,minus
5745,761,minus
5745,31,plus
5747,74,plus
5753,1159,minus
5755,21,plus
5772,39,plus
5777,38,plus
5786,8,minus
5787,22,plus
5795,30,minus
5795,97,plus
5796,1326,minus
5796,235,plus
5803,2734,minus
5803,107,plus
5804,7186,minus
5805,1,minus
5808,13,plus
5811,544,minus
5816,2469,minus
5821,184,plus
5824,3813,minus
5827,1,minus
5829,2642,minus
5846,155,minus
5847,4,minus
5848,1,minus
5863,9,plus
5865,471,minus
5867,17,plus
5875,3426,minus
5876,278,minus
5885,27,plus
5887,2015,minus
5888,1,minus
5889,22,plus
5892,3,plus
5893,51,minus
5894,62,plus
5902,5713,minus
5915,983,minus
5930,2,plus
5943,12,minus
5943,1,plus
5944,5,minus
5949,74,plus
5953,112,plus
5954,7,plus
5964,121,plus
5966,10,minus
5971,3,plus
5972,39,minus
5987,1,minus
6026,6,plus
6036,18,minus
6037,19,minus
6052,98,plus
6196,145,minus
6244,459,minus
6248,14,plus
6256,292,minus
6274,28,minus
6281,2,minus
6293,1,minus
6308,4,minus
6317,126,minus
6329,1152,minus
6353,12,plus
6416,15,plus
6450,9,minus
6468,13,minus
6505,3,minus
6516,43,minus
6521,14,minus
6546,30,minus
6551,18,minus
6558,59,plus
6563,1,plus
6571,31,minus
6668,348,minus
6669,1,minus
6690,14,minus
6726,7,plus
6739,32,minus
6746,4,plus
6768,1,minus
6785,1,minus
6786,1,minus
6798,167,plus
6800,59,plus
6817,33,plus
6826,1,plus
6956,94,plus
6964,5,minus
6990,10,plus
7018,10,plus
7039,1,minus
7079,1,minus
7110,3,minus
7151,14,minus
7175,5,minus
7188,1,minus
7197,2,plus
7270,487,plus
7278,2,minus
7285,1,minus
7285,700,plus
7292,99,plus
7300,5,minus
7302,1,plus
7314,390,plus
7322,5,plus
7323,4,plus
7326,91,plus
7341,1,minus
7360,19,plus
7396,30,minus
7464,46,minus
7469,23,minus
7476,8,plus
7484,60,minus
7487,72,plus
7488,70,plus
7495,10,minus
7496,113,minus
7500,1,plus
7505,3,plus
7508,23,minus
7510,16,plus
7513,25,minus
7534,1,plus
7551,133,minus
7582,1,plus
7625,60,minus
7658,1,plus
7666,187,minus
7668,25,plus
7675,39,minus
7676,64,minus
7711,54,minus
7750,269,minus
7761,375,plus
7781,153,minus
7851,1,minus
7855,366,minus
7856,1,minus
7911,22,plus
7913,1,plus
7918,14,plus
7936,93,minus
7943,11,plus
7951,404,minus
7953,12,plus
7961,199,minus
7977,45,minus
8007,19,plus
8031,107,minus
8049,21,minus
8065,9,plus
8070,4,plus
8073,110,minus
8079,336,minus
8102,192,minus
8113,82,minus
8142,3,plus
8150,310,minus
8171,1,plus
8201,8,minus
8218,3,plus
8226,2,plus
8228,13,minus
8232,5,plus
8246,28,plus
8262,24,minus
8267,11,minus
8267,28,plus
8268,48,plus
8276,41,minus
8322,52,plus
8330,661,minus
8331,3,minus
8339,11,plus
8341,54,minus
8342,166,minus
8382,1,plus
8384,1,plus
8399,54,plus
8404,97,plus
8407,427,minus
8412,481,minus
8445,87,minus
8458,95,plus
8466,103,minus
8473,799,plus
8481,1134,minus
8487,95,plus
8506,90,minus
8533,87,minus
8547,369,plus
8549,1491,plus
8550,9,minus
8557,43,minus
8564,245,plus
8572,356,minus
8593,507,plus
8607,47,minus
8625,6,minus
8642,333,plus
8654,381,plus
8655,65,plus
8657,77,plus
8662,39,minus
8663,19,minus
8665,13,minus
8666,12,plus
8685,72,plus
8686,45,plus
8693,192,minus
8700,39,plus
8728,20,plus
8733,3,plus
8738,3,plus
8744,9,plus
8754,14,plus
8762,1,minus
8767,103,minus
8768,7,minus
8777,51,plus
8778,43,plus
8783,11,plus
8785,317,minus
8786,262,minus
8789,18,plus
8791,106,minus
8793,1,plus
8802,28,plus
8806,455,minus
8809,68,minus
8810,1,plus
8817,5,plus
8818,25,minus
8832,6,plus
8840,6,minus
8847,57,plus
8855,7,minus
8860,3,plus
8867,636,minus
8868,71,minus
8893,2,plus
8895,11,plus
8901,17,minus
8903,5,plus
8904,14,plus
8908,1,plus
8937,17,minus
8947,2,plus
8954,232,minus
8956,2,plus
8960,1,minus
8962,26,plus
8970,249,minus
8971,119,plus
8974,71,plus
8977,22,plus
8979,4,minus
8984,807,plus
8989,1,plus
8990,1,minus
8992,462,minus
8995,292,plus
8997,109,minus
8999,2,plus
9006,426,plus
9008,1,minus
9008,287,plus
9013,1,minus
9014,322,plus
9015,184,plus
9018,591,plus
9025,121,minus
9026,521,minus
9033,64,minus
9037,13,minus
9048,328,plus
9051,156,plus
9056,328,minus
9056,1481,plus
9057,124,plus
9058,1120,plus
9059,97,plus
9061,508,plus
9064,63,minus
9064,395,plus
9066,96,minus
9066,124,plus
9071,298,plus
9072,95,minus
9074,17,minus
9075,1,plus
9077,1824,plus
9079,11,minus
9085,242,minus
9087,319,plus
9098,11,plus
9099,3,minus
9102,253,plus
9106,215,minus
9114,17,minus
9116,299,plus
9118,134,plus
9124,624,minus
9125,108,minus
9126,82,plus
9131,2,minus
9134,830,plus
9139,2817,plus
9143,11,minus
9143,4,plus
9144,29146,plus
9147,36,minus
9150,1743,plus
9152,528,minus
9155,2140,plus
9163,118,minus
9164,219,minus
9168,1645,plus
9169,30,plus
9173,728,plus
9175,115,minus
9178,3,plus
9183,1652,plus
9186,20,minus
9191,241,minus
9192,23,plus
9202,1744,plus
9210,14,minus
9217,916,plus
9218,15,plus
9225,3,minus
9226,62,minus
9227,6,minus
9228,1,minus
9231,481,plus
9239,21,minus
9240,33,minus
9247,222,plus
9261,35,plus
9263,317,plus
9264,230,plus
9269,15,minus
9269,160,plus
9271,124,plus
9281,284,plus
9289,473,plus
9291,190,plus
9292,203,plus
9297,32,plus
9299,60,minus
9300,9,minus
9302,6,plus
9311,10,plus
9322,273,plus
9327,105,plus
9330,17,minus
9330,73,plus
9335,36,plus
9339,6,plus
9340,111,plus
9348,10,minus
9348,45,plus
9349,52,plus
9367,4,minus
9370,10,minus
9372,16,plus
9379,7,plus
9382,201,plus
9386,22,plus
9390,3,minus
9394,9,minus
9396,12,plus
9397,43,plus
9400,53,plus
9407,141,plus
9408,2,minus
9412,11,plus
9414,5,minus
9415,13,minus
9415,61,plus
9422,21,minus
9423,81,minus
9425,60,plus
9433,52,minus
9437,2,plus
9442,436,plus
9444,10,plus
9445,10,minus
9450,665,minus
9452,137,minus
9452,83,plus
9458,1,plus
9460,68,minus
9460,80,plus
9466,86,minus
9468,56,minus
9479,2,plus
9484,14,minus
9484,1,plus
9485,2,plus
9487,13,minus
9492,45,minus
9497,182,minus
9501,7,plus
9510,2,plus
9517,195,minus
9518,43,minus
9533,5,plus
9541,8,minus
9551,1,minus
9553,87,minus
9584,172,minus
9590,42,plus
9596,160,minus
9598,471,minus
9600,11,minus
9615,6,plus
9623,99,minus
9638,1,plus
9643,4,plus
9645,119,minus
9645,1,plus
9648,7,plus
9651,629,minus
9656,112,minus
9658,1,plus
9675,365,minus
9677,29,plus
9682,259,minus
9682,21,plus
9684,4,plus
9685,49,minus
9686,327,minus
9688,2,plus
9689,1,minus
9690,1488,minus
9696,1,plus
9697,669,minus
9701,1,plus
9702,42,plus
9704,227,minus
9706,3,plus
9710,2275,minus
9711,834,minus
9716,444,minus
9717,667,minus
9727,587,minus
9729,313,minus
9729,1,plus
9733,1,minus
9737,1109,minus
9739,21,plus
9742,19,minus
9744,7,plus
9745,3,plus
9746,1425,minus
9747,3699,minus
9748,2681,minus
9749,1,plus
9752,1081,minus
9753,240,minus
9755,5,plus
9757,3,minus
9761,7,plus
9763,791,minus
9763,67,plus
9769,1121,minus
9771,3441,minus
9772,797,minus
9773,1,minus
9774,54,plus
9777,1979,minus
9779,1456,minus
9779,138,plus
9780,1,minus
9782,1,minus
9784,99,plus
9786,28,plus
9787,384,minus
9789,143,plus
9792,8331,minus
9794,3327,minus
9795,1,minus
9796,1,minus
9797,325,minus
9797,5,plus
9799,165,plus
9805,480,minus
9805,7,plus
9806,49,minus
9807,1584,minus
9808,523,minus
9810,419,minus
9810,22,plus
9811,852,plus
9813,5507,minus
9815,37,plus
9816,207,plus
9817,1,minus
9818,4,minus
9819,32530,minus
9820,5,minus
9820,97,plus
9822,41,plus
9823,1493,minus
9824,1690,minus
9825,8,plus
9826,901,minus
9826,38,plus
9828,5723,minus
9829,85,minus
9830,1127,minus
9830,65,plus
9831,61,plus
9833,28,minus
9834,283,minus
9835,3,minus
9838,2633,minus
9840,1,plus
9844,2526,minus
9844,44,plus
9845,1982,minus
9846,764,minus
9848,2,minus
9849,347,plus
9857,547,minus
9862,150,plus
9870,406,minus
9875,68,plus
9877,28,plus
9887,2,plus
9889,101,plus
9890,369,plus
9892,38,plus
9894,2,plus
9895,79,plus
9897,41,minus
9898,460,minus
9900,151,minus
9900,33,plus
9902,90,minus
9903,26,minus
9905,7,plus
9908,80,minus
9908,127,plus
9910,16,minus
9910,466,plus
9913,16,minus
9913,1,plus
9918,645,minus
9925,2,minus
9926,222,plus
9929,12,plus
9934,546,minus
9937,274,minus
9958,232,plus
9965,15,plus
9966,447,minus
9968,45,minus
9970,78,plus
9973,7,minus
9977,178,minus
9978,168,minus
9980,5,plus
9981,9,plus
9986,6,plus
9987,102,plus
9988,20,minus
9989,27,minus
9992,29,plus
9993,137,plus
9994,3,minus
9994,21,plus
9995,5,minus
9998,13,plus
9999,25,plus
10000,19,minus
10000,12,plus
10001,29,minus
