Insertion,Frequency,Orientation
2621,1,plus
2624,3,minus
2735,24,plus
2743,4,minus
2759,111,plus
5321,1,minus
5324,2,plus
5329,1,plus
5332,13,minus
5335,16,plus
5338,1,minus
5348,3,minus
5349,27,minus
5361,5,minus
5373,1,plus
5376,18,minus
5381,12,minus
5386,230,plus
5393,1983,plus
5394,5,plus
5401,65,minus
5411,29,minus
5415,1,plus
5422,4,plus
5429,3,plus
5435,12,plus
5437,50,minus
5443,69,minus
5481,502,plus
5489,118,minus
5502,1,minus
5510,134,plus
5511,19,plus
5512,1,plus
5519,55,minus
5520,3,plus
5526,2773,plus
5528,77,minus
5534,2172,minus
5537,1,plus
5542,48,plus
5550,14,minus
5552,284,minus
5553,1,minus
5560,328,minus
5563,92,plus
5572,116,minus
5590,12,minus
5592,260,plus
5597,267,plus
5600,112,minus
5605,1117,minus
5607,2,plus
5610,1221,minus
5615,840,minus
5616,34,plus
5617,27,plus
5618,130,plus
5620,323,minus
5626,47,minus
5639,603,minus
5640,113,plus
5645,427,minus
5646,769,minus
5647,235,plus
5648,435,minus
5653,5,minus
5655,632,minus
5656,1,plus
5660,3,minus
5665,174,minus
5675,29,plus
5683,150,minus
5692,6,plus
5701,91,plus
5709,4,minus
5711,1,minus
5711,308,plus
5716,70,plus
5721,4,plus
5724,1,minus
5727,54,plus
5729,629,minus
5732,90,plus
5734,83,minus
5735,14,minus
5736,1862,minus
5737,22,plus
5738,211,minus
5740,806,minus
5746,96,plus
5748,447,minus
5753,254,minus
5754,1,minus
5755,720,minus
5755,98,plus
5756,2,plus
5763,1,minus
5778,6,minus
5785,1,minus
5786,1,minus
5787,83,plus
5790,399,minus
5793,3,plus
5795,115,minus
5795,278,plus
5796,756,minus
5796,329,plus
5803,4470,minus
5803,11,plus
5804,4672,minus
5806,910,minus
5808,17,plus
5811,2133,minus
5815,6,minus
5816,2846,minus
5816,42,plus
5821,19,plus
5824,14,minus
5829,256,minus
5831,17,plus
5845,1506,minus
5846,6,minus
5847,6550,minus
5848,2,minus
5875,1506,minus
5876,2,minus
5879,52,plus
5887,16,minus
5892,7,minus
5893,13,minus
5894,63,plus
5899,1,minus
5902,4502,minus
5915,4,minus
5924,106,plus
5928,78,plus
5946,1,plus
5954,28,minus
5954,60,plus
5959,44,plus
5962,14,minus
5964,19,plus
5972,27,minus
5978,23,minus
5989,1,minus
6034,5,minus
6036,159,minus
6045,60,plus
6052,48,plus
6053,20,minus
6060,62,minus
6071,1,minus
6076,12,minus
6105,1,minus
6106,33,plus
6121,1,plus
6123,7,plus
6131,111,minus
6139,11,minus
6155,47,plus
6165,12,minus
6214,108,minus
6217,38,plus
6224,6,plus
6225,196,minus
6230,239,minus
6236,8,plus
6244,59,minus
6248,36,plus
6263,4,minus
6281,2,minus
6318,13,minus
6319,55,minus
6417,5,plus
6423,4,plus
6449,3,minus
6468,35,minus
6469,5,plus
6485,10,plus
6502,14,plus
6508,3,plus
6521,39,minus
6543,1,plus
6545,25,plus
6569,3,minus
6612,63,minus
6634,1,minus
6715,69,minus
6734,128,minus
6739,48,minus
6740,1,minus
6776,71,minus
6777,23,plus
6786,53,minus
6806,1,minus
6808,209,minus
6822,15,plus
6826,59,plus
6956,59,plus
6969,13,plus
7013,3,plus
7031,2,plus
7051,11,plus
7061,11,minus
7082,3,plus
7115,2,minus
7135,7,plus
7150,8,minus
7230,198,plus
7243,153,plus
7251,7,minus
7278,4,minus
7285,1,plus
7287,1,minus
7292,619,plus
7298,26,minus
7300,23,minus
7310,1,minus
7313,2,plus
7314,15,plus
