Insertion	Frequency
1474	16
2662	3
2710	2
2733	159
2746	180
2765	52
2767	51
2780	199
5332	2
5337	7
5338	4
5349	3
5361	7
5376	564
5381	2629
5386	180
5401	1
5411	374
5423	37
5424	709
5430	1
5437	664
5443	725
5478	47
5489	453
5490	147
5503	203
5510	33
5511	248
5518	57
5520	76
5525	95
5527	225
5528	253
5530	358
5531	1
5534	4876
5539	53
5545	46
5553	18
5560	184
5571	43
5590	328
5600	22
5605	304
5607	16
5610	28
5615	509
5620	84
5624	27
5638	34
5639	12
5646	44
5648	46
5653	1
5655	568
5665	432
5683	1245
5695	85
5700	414
5719	1032
5724	511
5738	3
5745	231
5753	280
5754	30
5763	40
5775	44
5778	108
5780	19
5785	20
5790	246
5795	58
5803	105
5804	1459
5806	88
5808	39
5811	312
5814	227
5816	136
5821	27
5824	194
5839	29
5840	123
5846	1
5847	113
5875	46
5887	292
5892	5
5897	19
5902	245
5938	33
5943	18
5944	157
5954	79
5957	60
5962	45
5966	86
5967	90
5972	96
5982	31
5987	24
6005	1
6034	24
6036	1
6065	36
6069	42
6105	63
6127	28
6163	22
6188	3
6198	7
6225	23
6244	22
6256	6
6280	13
6281	29
6315	23
6328	31
6329	1
6359	4
6363	12
6431	21
6432	15
6455	1
6505	17
6516	17
6521	9
6561	61
6571	21
6617	10
6641	4
6668	2
6734	6
6739	1
6762	8
6781	42
6785	34
6791	3
6808	18
6856	62
6866	2
6868	5
6878	13
6924	12
6964	165
6998	11
7016	11
7095	7
7118	1
7122	3
7143	5
7162	2
7175	2
7211	1
7227	224
7277	3
7278	1401
7279	33
7298	114
7300	769
7321	113
7324	4
7331	181
7333	49
7341	181
7345	169
7358	149
7368	106
7384	104
7391	3
7396	79
7469	66
7484	37
7490	2
7495	47
7496	148
7508	59
7541	15
7551	2
7564	19
7576	3
7590	9
7597	4
7610	1
7618	10
7651	4
7661	5
7666	17
7682	5
7740	4
7743	9
7744	2
7769	246
7777	288
7781	54
7791	2
7811	56
7838	49
7851	48
7856	45
7862	17
7870	14
7876	9
7921	12
7951	16
7956	23
8015	6
8038	19
8049	13
8073	20
8074	20
8078	12
8150	37
8176	1
8197	19
8199	33
8202	3
8207	12
8226	12
8240	8
8254	59
8262	1
8272	17
8276	62
8296	63
8297	3
8330	117
8331	1
8332	1
8336	3
