Insertion,Orientation,Frequency
2688,plus,1
2702,plus,1
2735,plus,5
2759,plus,543
5320,minus,1
5321,minus,3
5324,plus,15
5331,minus,11
5332,minus,3
5337,minus,4
5343,minus,1
5344,minus,14
5349,minus,1
5368,plus,77
5376,minus,13
5381,minus,32
5386,minus,203
5386,plus,184
5393,plus,873
5401,minus,139
5401,plus,85
5403,plus,1619
5411,minus,63
5422,plus,7580
5423,minus,66
5427,minus,5
5429,plus,2375
5435,plus,8602
5437,minus,252
5441,minus,27
5443,minus,60
5447,plus,29
5469,minus,1
5481,plus,4679
5488,plus,2
5489,minus,76
5490,minus,122
5497,minus,39
5502,minus,8
5502,plus,13
5510,plus,520
5516,plus,154
5518,minus,203
5519,plus,191
5526,plus,15568
5528,minus,7
5534,minus,1772
5539,minus,1024
5542,plus,16
5544,minus,49
5545,minus,129
5550,minus,125
5550,plus,11
5553,minus,236
5560,minus,205
5563,plus,30
5571,minus,72
5572,minus,14
5582,plus,2
5587,plus,214
5590,minus,1194
5592,plus,851
5597,plus,414
5605,minus,3477
5607,plus,1109
5610,minus,2796
5615,minus,3993
5616,plus,441
5617,plus,2
5618,plus,145
5620,minus,689
5623,minus,847
5626,minus,496
5630,plus,12
5631,plus,9
5638,plus,365
5639,minus,331
5639,plus,30
5640,plus,8
5645,minus,309
5645,plus,942
5646,minus,379
5647,plus,1787
5648,minus,1030
5653,minus,13607
5655,minus,5288
5660,minus,136
5665,minus,1792
5675,plus,13
5677,minus,316
5687,plus,181
5692,plus,125
5701,plus,50
5706,minus,199
5709,minus,5572
5711,minus,24265
5711,plus,4
5712,minus,1
5721,plus,14
5724,minus,126
5728,plus,43
5729,minus,618
5730,plus,1
5732,plus,7
5734,minus,3317
5735,minus,1224
5736,minus,59
5738,minus,94
5740,minus,3701
5745,minus,828
5745,plus,205
5746,plus,86
5747,plus,162
5751,plus,5
5753,minus,14477
5754,minus,48
5755,minus,210
5755,plus,666
5758,minus,1
5760,plus,428
5772,plus,115
5777,plus,139
5781,minus,1
5793,plus,33
5795,minus,12107
5795,plus,1393
5796,minus,8333
5796,plus,130
5803,minus,21697
5803,plus,364
5804,minus,35292
5806,minus,1265
5808,plus,61
5811,minus,18289
5816,minus,17552
5821,plus,323
5824,minus,7811
5829,minus,66678
5831,plus,9
5845,minus,63
5846,minus,603
5847,minus,10141
5865,minus,3166
5866,minus,1
5867,plus,88
5875,minus,11760
5876,minus,441
5884,plus,110
5885,plus,44
5887,minus,31399
5888,minus,9
5889,plus,7
5892,minus,1760
5892,plus,11
5893,minus,24248
5894,minus,3
5894,plus,202
5895,minus,1
5902,minus,7997
5915,minus,11502
5924,plus,9
5928,plus,44
5930,plus,111
5936,minus,1
5936,plus,168
5943,minus,2
5944,minus,89
5949,plus,44
5951,minus,42
