Insertion,Frequency,Orientation
1466,2,plus
1471,7,plus
1493,1,plus
2702,1,plus
2725,35,plus
2735,1,plus
2746,1,plus
2759,11,plus
2779,3,plus
5331,2,minus
5332,1,minus
5337,1,minus
5343,4,minus
5344,1,minus
5349,2,minus
5361,1,minus
5368,2,plus
5373,98,plus
5376,8,minus
5378,9,plus
5381,5,minus
5386,47,minus
5386,65,plus
5393,1418,plus
5394,48,plus
5401,47,minus
5401,1,plus
5403,731,plus
5409,1,minus
5411,12,minus
5422,2293,plus
5423,8,minus
5427,3,minus
5429,1736,plus
5435,2935,plus
5437,43,minus
5441,21,minus
5443,38,minus
5469,2,minus
5471,5,plus
5478,3,minus
5481,1733,plus
5482,9,plus
5488,27,plus
5489,24,minus
5490,21,minus
5497,12,minus
5502,4,minus
5510,196,plus
5516,40,plus
5517,37,plus
5518,73,minus
5519,70,plus
5520,9,minus
5520,116,plus
5522,62,plus
5525,2,minus
5526,4773,plus
5528,5,minus
5530,2,minus
5531,1,plus
5534,1640,minus
5535,12,minus
5537,49,plus
5539,209,minus
5544,27,minus
5545,13,minus
5550,38,minus
5550,9,plus
5552,1,minus
5553,82,minus
5557,9,minus
5560,97,minus
5563,15,plus
5571,83,minus
5572,1,minus
5575,1,minus
5582,4,plus
5587,77,plus
5590,322,minus
5592,186,plus
5595,11,minus
5596,5,minus
5597,178,plus
5599,26,plus
5600,51,minus
5602,1,plus
5605,1087,minus
5607,325,plus
5610,921,minus
5615,1200,minus
5616,56,plus
5617,39,minus
5618,94,plus
5620,253,minus
5623,258,minus
5624,38,minus
5625,37,minus
5626,96,minus
5631,19,plus
5638,46,minus
5638,44,plus
5639,165,minus
5639,37,plus
5640,12,plus
5645,123,minus
5645,320,plus
5646,130,minus
5647,23,minus
5647,372,plus
5648,285,minus
5653,3253,minus
5655,2042,minus
5656,2,plus
5657,11,plus
5660,37,minus
5665,420,minus
5671,86,minus
5675,155,plus
5676,20,plus
5677,90,minus
5683,30,minus
5686,5,plus
5687,12,plus
5692,10,plus
5700,132,minus
5701,76,plus
5705,19,minus
5706,33,minus
5709,2008,minus
5711,6248,minus
5711,30,plus
5719,131,minus
5721,23,plus
5724,143,minus
5727,10,plus
5728,79,plus
5729,563,minus
5730,1,plus
5732,51,plus
5734,1087,minus
5735,460,minus
5736,97,minus
5737,35,plus
5740,1024,minus
5745,482,minus
5745,46,plus
5746,55,plus
5747,24,plus
5748,5,minus
5753,2789,minus
5754,63,minus
5755,373,minus
5755,118,plus
5756,3,plus
5760,87,plus
5763,135,minus
5770,24,plus
5773,103,minus
