Insertion,Orientation,Frequency
1456,plus,2
1466,plus,2
1471,plus,7
1493,plus,1
2621,plus,2
2702,plus,4
2725,plus,35
2735,plus,5
2738,plus,10
2746,plus,6
2759,plus,68
2772,plus,1
2779,plus,3
5274,plus,8
5284,minus,1
5321,minus,4
5324,plus,58
5329,plus,1
5331,minus,7
5332,minus,1
5337,minus,9
5338,minus,5
5343,minus,4
5343,plus,3
5344,minus,4
5349,minus,4
5353,plus,1
5361,minus,6
5368,plus,8
5373,plus,994
5376,minus,12
5378,plus,9
5381,minus,25
5386,minus,133
5386,plus,472
5393,plus,2500
5394,plus,294
5401,minus,100
5401,plus,270
5402,minus,1
5403,plus,1997
5409,minus,2
5411,minus,20
5415,plus,236
5416,plus,316
5418,minus,21
5421,plus,2
5422,plus,8054
5423,minus,28
5427,minus,4
5429,plus,3990
5434,plus,1
5435,plus,8447
5437,minus,172
5441,minus,32
5443,minus,84
5469,minus,2
5471,plus,16
5478,minus,3
5479,minus,1
5481,plus,5064
5482,plus,82
5488,plus,29
5489,minus,135
5490,minus,61
5495,plus,204
5497,minus,20
5502,minus,26
5504,minus,1
5509,minus,9
5510,plus,490
5512,plus,71
5516,plus,58
5517,plus,48
5518,minus,201
5519,plus,155
5520,minus,13
5520,plus,139
5522,plus,62
5525,minus,33
5525,plus,1
5526,plus,17638
5528,minus,26
5530,minus,7
5531,plus,20
5534,minus,4341
5535,minus,13
5537,plus,83
5539,minus,701
5544,minus,79
5545,minus,35
5550,minus,128
5550,plus,13
5552,minus,16
5553,minus,191
5557,minus,9
5560,minus,242
5563,plus,191
5571,minus,156
5572,minus,3
5575,minus,22
5577,plus,6
5582,plus,28
5587,plus,121
5590,minus,1122
5592,plus,341
5595,minus,19
5596,minus,54
5597,plus,425
5599,plus,26
5600,minus,202
5602,plus,1
5605,minus,3259
5607,plus,892
5610,minus,2716
5612,plus,2
5615,minus,3207
5616,plus,313
5617,minus,79
5618,plus,192
5620,minus,673
5623,minus,760
5624,minus,165
5625,minus,98
5626,minus,225
5628,plus,3
5630,plus,24
5631,plus,43
5638,minus,101
5638,plus,168
5639,minus,419
5639,plus,122
5640,plus,98
5645,minus,405
5645,plus,891
5646,minus,348
5647,minus,117
5647,plus,1177
5648,minus,889
5652,plus,57
5653,minus,9761
5655,minus,5003
5656,plus,2
5657,plus,20
5660,minus,211
5665,minus,1228
5671,minus,86
5675,plus,356
5676,plus,38
5677,minus,146
5683,minus,60
5686,plus,5
5687,plus,152
5692,plus,132
5695,minus,7
5700,minus,302
5701,plus,175
5705,minus,20
5706,minus,141
5709,minus,5925
5711,minus,19645
5711,plus,193
5716,plus,91
5719,minus,300
5721,plus,36
5724,minus,434
5727,plus,85
5728,plus,342
5729,minus,1577
5730,minus,1
5730,plus,6
5732,plus,180
5734,minus,4049
5735,minus,1524
5736,minus,726
5737,plus,53
5738,minus,261
5740,minus,3709
5745,minus,909
5745,plus,111
5746,plus,175
5747,plus,140
5748,minus,5
5753,minus,10949
5754,minus,210
5755,minus,1344
5755,plus,385
5756,minus,1
5756,plus,41
5758,minus,71
5760,plus,363
5763,minus,248
5764,minus,177
5770,plus,41
5772,plus,152
5773,minus,103
5777,plus,115
5778,minus,195
5780,minus,362
5781,minus,118
5782,plus,103
5783,plus,135
5785,minus,231
5786,minus,278
5787,plus,65
5790,minus,155
5793,plus,30
5795,minus,8123
5795,plus,1371
5796,minus,7531
5796,plus,472
5797,minus,1
5798,plus,1
5801,minus,222
5803,minus,24279
5803,plus,181
5804,minus,27631
5806,minus,906
5806,plus,24
5808,plus,123
5811,minus,19639
5815,minus,572
5816,minus,16639
5816,plus,51
5821,minus,597
5821,plus,483
5822,minus,1
5824,minus,8705
5827,minus,56
5829,minus,46096
5830,minus,1
5831,plus,50
5832,plus,7
5835,minus,3
5837,minus,31
5839,plus,3
5845,minus,187
5846,minus,543
5847,minus,14340
5848,minus,681
5863,plus,1
5865,minus,1952
5867,plus,110
5875,minus,9097
5876,minus,876
5879,plus,27
5882,minus,1
5884,plus,64
5885,plus,66
5887,minus,20987
5888,minus,4
5889,plus,76
5892,minus,498
5892,plus,2
5893,minus,16440
5894,minus,2
5894,plus,140
5902,minus,12885
5915,minus,8872
5924,plus,15
5928,plus,47
5929,plus,1
5930,plus,116
5935,plus,1
5936,minus,1
5936,plus,135
5943,minus,19
5943,plus,5
5944,minus,38
5946,plus,1
5949,plus,57
5951,minus,28
5953,plus,140
5954,minus,1
5954,plus,165
5959,plus,206
5962,minus,4
5964,plus,834
5966,minus,2
5967,minus,17
5969,plus,1
5971,plus,2
5972,minus,106
5974,plus,1
5979,plus,13
5987,minus,2
6026,plus,24
6028,plus,60
6034,minus,34
6036,minus,237
6037,minus,192
6045,plus,123
6052,plus,49
6060,minus,116
6061,minus,1
6071,minus,20
6076,minus,5
6080,plus,73
6082,minus,5
6082,plus,2
6103,minus,4
6104,minus,10
6106,plus,24
6109,minus,84
6116,minus,21
6131,minus,37
6155,plus,15
6162,plus,1
6163,minus,21
6165,minus,49
6186,minus,25
6192,minus,742
6196,minus,152
6206,plus,1
6214,minus,293
6217,plus,17
6224,plus,4
6225,minus,253
6230,minus,350
6235,minus,1
6244,minus,1128
6248,plus,137
6256,minus,505
6266,plus,6
6271,minus,6
6274,minus,4
6280,minus,5
6281,minus,1274
6282,minus,304
6292,minus,19
6317,minus,408
6318,minus,67
