Insertion,Frequency,Orientation
5331,3,minus
5332,1,minus
5337,2,minus
5344,3,minus
5373,338,plus
5376,3,minus
5381,15,minus
5386,48,minus
5386,4,plus
5393,96,plus
5394,2,plus
5401,18,minus
5401,1,plus
5403,712,plus
5411,6,minus
5415,3,plus
5416,2,plus
5418,1,minus
5422,4052,plus
5423,24,minus
5429,1480,plus
5435,3220,plus
5437,34,minus
5441,8,minus
5443,38,minus
5481,1332,plus
5489,15,minus
5490,34,minus
5495,1,plus
5497,3,minus
5502,4,minus
5510,94,plus
5512,1,plus
5518,73,minus
5519,96,plus
5526,3487,plus
5528,25,minus
5534,377,minus
5539,225,minus
5544,29,minus
5545,8,minus
5550,114,minus
5553,27,minus
5560,86,minus
5571,50,minus
5572,5,minus
5582,2,plus
5587,43,plus
5590,392,minus
5592,275,plus
5597,98,plus
5605,805,minus
5607,152,plus
5610,905,minus
5615,1286,minus
5616,10,plus
5617,2,plus
5618,61,plus
5620,206,minus
5623,103,minus
5624,1,minus
5626,101,minus
5631,28,plus
5638,2,minus
5638,237,plus
5639,30,minus
5639,1,plus
5640,6,plus
5645,212,minus
5645,194,plus
5646,65,minus
5647,2,minus
5647,301,plus
5648,356,minus
5652,3,plus
5653,4293,minus
5655,2115,minus
5660,1,minus
5665,405,minus
5675,8,plus
5677,2,minus
5687,40,plus
5692,39,plus
5701,10,plus
5706,95,minus
5709,2418,minus
5711,10314,minus
5711,1,plus
5719,2,minus
5724,28,minus
5727,10,plus
5728,7,plus
5729,274,minus
5730,1,plus
5732,2,plus
5734,1670,minus
5735,723,minus
5736,222,minus
5738,14,minus
5740,1171,minus
5745,137,minus
5745,5,plus
5746,24,plus
5747,12,plus
5753,5320,minus
5754,3,minus
5755,161,minus
5755,345,plus
5760,35,plus
5764,162,minus
5770,6,plus
5772,8,plus
5777,24,plus
5781,18,minus
5786,1,minus
5787,18,plus
5790,1,minus
5795,4791,minus
5795,459,plus
5796,3296,minus
5796,66,plus
5801,3,minus
5803,9298,minus
5803,28,plus
5804,10698,minus
5806,210,minus
5808,36,plus
5811,8606,minus
5816,7284,minus
5816,22,plus
5821,9,minus
5821,70,plus
5824,2017,minus
5829,21487,minus
5831,4,plus
5837,24,minus
5846,135,minus
5847,11519,minus
5848,6,minus
5865,490,minus
5867,3,plus
5875,5167,minus
5876,150,minus
5884,2,plus
5885,7,plus
5887,9602,minus
5889,10,plus
5892,184,minus
5893,7853,minus
5894,1,minus
5894,6,plus
5902,2558,minus
5915,4588,minus
5930,3,plus
5936,134,plus
5944,6,minus
5949,51,plus
5951,31,minus
5953,68,plus
5954,7,plus
5959,118,plus
5962,17,minus
5964,215,plus
5966,48,minus
5967,1,minus
5972,35,minus
5978,12,minus
5979,2,plus
5987,4,minus
6028,2,plus
6036,36,minus
6037,94,minus
6045,35,plus
6060,21,minus
6139,2,minus
6162,1,plus
6186,2,minus
6192,116,minus
6196,16,minus
6214,61,minus
6217,21,plus
6225,2,minus
6244,275,minus
6248,32,plus
6256,42,minus
6281,63,minus
6293,55,minus
6321,1,plus
6449,8,minus
6468,1,minus
6505,51,minus
6506,1,minus
6521,19,minus
6551,21,minus
6571,13,minus
6612,55,minus
6668,3,minus
6734,24,minus
6775,3,minus
6786,90,minus
6800,6,plus
6803,5,plus
6808,45,minus
6834,1,minus
6860,54,plus
6893,1,plus
6956,25,plus
7013,3,plus
7018,1,plus
7150,1,minus
7151,180,minus
7180,24,plus
7252,1,minus
7270,1,plus
7272,1,plus
7285,207,plus
7292,65,plus
7300,19,minus
7310,1,minus
7314,3,plus
7316,2,plus
7323,5,plus
7325,3,plus
7331,4,plus
7341,4,minus
7360,1,plus
7461,65,plus
7464,60,minus
7469,1,minus
7476,2,plus
7484,18,minus
7487,12,plus
7488,24,plus
7495,12,minus
7496,52,minus
7505,4,plus
7508,61,minus
7510,3,plus
7513,19,minus
7528,2,plus
7543,2,plus
7551,115,minus
7574,3,minus
7580,1,minus
7590,7,minus
7621,1,minus
7666,43,minus
7672,60,minus
7676,37,minus
7711,3,minus
7742,24,plus
7744,3,minus
7761,29,plus
7779,3,minus
7791,8,minus
7808,12,minus
7808,3,plus
7826,1140,minus
7837,2,plus
7843,23,plus
7851,243,minus
7855,4,minus
7911,7,plus
7913,3,plus
7934,3,minus
7936,4,minus
7943,7,plus
7951,10,minus
7953,4,plus
7956,20,minus
7966,3,minus
7977,7,minus
8024,152,minus
8041,16,plus
8049,63,minus
8070,2,plus
8073,29,minus
8078,90,minus
8079,92,minus
8107,172,minus
8113,33,minus
8114,14,minus
8132,26,plus
8140,3,minus
8142,11,plus
8150,282,minus
8193,1,plus
8232,26,plus
8240,1,minus
8246,1,plus
8262,6,minus
8267,81,minus
8268,1313,plus
8276,3,minus
8303,1,plus
8322,300,plus
8330,206,minus
8336,1,minus
8341,6,minus
8342,4,minus
8343,3,minus
8384,7,plus
8394,12,plus
8399,20,plus
8401,2,minus
8402,29,minus
8407,115,minus
8412,25,minus
8437,4,plus
8445,27,minus
8449,1,minus
8450,1,minus
8458,4,plus
8466,23,minus
8468,6,plus
8473,1045,plus
8481,288,minus
8490,9,minus
8498,12,plus
8500,1,plus
8506,20,minus
8508,1,minus
8527,2,plus
8533,131,minus
8538,25,minus
8542,21,plus
8547,670,plus
8549,182,plus
8550,3,minus
8555,16,minus
8557,30,minus
8559,3,plus
8560,2,minus
8564,3,plus
8570,1,minus
8572,92,minus
8593,1625,plus
8607,8,plus
8616,22,minus
8621,28,minus
8621,330,plus
8629,759,minus
8642,78,plus
8650,13,minus
8654,239,plus
8655,3,plus
8657,95,plus
8661,7,minus
8662,413,minus
8665,119,minus
8666,15,plus
8673,1,minus
8680,2,minus
8685,121,plus
8686,13,plus
8693,598,minus
8697,2,plus
8699,13,minus
8700,36,plus
8708,3,minus
8717,114,plus
8725,2,plus
8728,3,plus
8738,4,plus
8744,56,plus
8746,119,minus
