Insertion	Frequency
5323	3
5324	1
5329	2
5336	3
5368	3
5373	15
5378	48
5393	18
5403	6
5410	1
5415	24
5429	34
5433	8
5435	38
5481	15
5482	34
5489	3
5494	4
5510	73
5520	25
5526	377
5531	225
5536	29
5537	8
5542	114
5545	27
5552	86
5563	50
5564	5
5582	392
5597	805
5602	905
5607	1286
5612	206
5615	103
5616	1
5618	101
5630	2
5631	30
5637	212
5638	65
5639	2
5640	356
5645	4293
5647	2115
5652	1
5657	405
5669	2
5698	95
5701	2418
5703	10314
5711	2
5716	28
5721	274
5726	1670
5727	723
5728	222
5730	14
5732	1171
5737	137
5745	5320
5746	3
5747	161
5756	162
5773	18
5778	1
5782	1
5787	4791
5788	3296
5793	3
5795	9298
5796	10698
5798	210
5803	8606
5808	7284
5813	9
5816	2017
5821	21487
5829	24
5838	135
5839	11519
5840	6
5857	490
5867	5167
5868	150
5879	9602
5884	184
5885	7853
5886	1
5894	2558
5907	4588
5936	6
5943	31
5954	17
5958	48
5959	1
5964	35
5970	12
5979	4
6028	36
6029	94
6052	21
6131	2
6178	2
6184	116
6188	16
6206	61
6217	2
6236	275
6248	42
6273	63
6285	55
6441	8
6460	1
6497	51
6498	1
6513	19
6543	21
6563	13
6604	55
6660	3
6726	24
6767	3
6778	90
6800	45
6826	1
7142	1
7143	180
7244	1
7292	19
7302	1
7333	4
7456	60
7461	1
7476	18
7487	12
7488	52
7500	61
7505	19
7543	115
7566	3
7572	1
7582	7
7613	1
7658	43
7664	60
7668	37
7703	3
7736	3
7771	3
7783	8
7800	12
7818	1140
7843	243
7847	4
7926	3
7928	4
7943	10
7948	20
7958	3
7969	7
8016	152
8041	63
8065	29
8070	90
8071	92
8099	172
8105	33
8106	14
8132	3
8142	282
8232	1
8254	6
8259	81
8268	3
8322	206
8328	1
8333	6
8334	4
8335	3
8393	2
8394	29
8399	115
8404	25
8437	27
8441	1
8442	1
8458	23
8473	288
8482	9
8498	20
8500	1
8525	131
8530	25
8542	3
8547	16
8549	30
8552	2
8562	1
8564	92
8608	22
8613	28
8621	759
8642	13
8653	7
8654	413
8657	119
8665	1
8672	2
8685	598
8691	13
8700	3
8738	119
8748	140
8754	51
8758	17
8759	18
8762	9
8777	292
8778	187
8784	6
8789	78
8798	23
8799	8
8832	61
8847	87
8851	1
8860	114
8889	11
8893	17
8946	1348
8962	879
8963	1
8971	5
8984	963
8993	190
8994	163
9005	33
9017	89
9018	1230
9025	2
9048	91
9051	23
9056	3
9058	294
9064	43
9069	8
9072	1
9076	55
9077	1
9116	118
9126	4
9135	6
9139	21
9144	397
9150	6
9155	6
9156	239
9167	601
9178	1
9183	332
9202	65
9218	253
9231	18
9269	1
9283	4
9289	1
9292	27
9297	1
9322	13
9340	37
9349	7
9359	3
9362	3
9364	1
9372	4
9379	12
9382	64
9386	2
9396	101
9397	25
9400	8
9407	55
9414	86
9415	135
9425	206
9432	20
9437	17
9439	18
9442	2336
9444	99
9452	81
9458	16
9460	70
9475	1
9476	634
9477	1
9479	104
9484	104
9485	63
9489	340
9494	185
9495	1
9509	177
9510	60
9520	1
9524	2
9533	67
9538	17
9545	56
9556	234
9576	99
9590	358
9615	198
9637	19
9643	357
9648	54
9658	37
9667	202
9668	158
9673	199
9674	58
9677	4101
9681	3207
9682	655
9684	19
9689	1962
9692	7
9696	104
9700	23
9702	3547
9703	137
9704	2
9708	156
9709	987
9710	1
9719	342
9727	296
9729	1529
9730	1
9734	543
9738	538
9739	3180
9740	947
9744	1417
9745	751
9748	1
9749	446
9761	198
9763	1615
9764	398
9769	3008
9771	196
9774	41
9779	302
9784	20186
9785	1
9786	7535
9788	1056
9789	834
9793	32
9797	48
9798	599
9799	89
9800	1553
9802	2
9804	1
9805	2089
9810	3531
9811	37553
9812	14
9815	1666
9816	2474
9817	1439
9818	248
9820	1016
9821	1568
9822	4
9825	62
9826	4
9827	2
9830	794
9836	8295
9837	65
9838	3
9840	86
9849	759
9862	6
9872	1
9889	197
9890	179
9894	17
9900	12
9902	186
9908	2
9910	342
9920	9
9926	30
9929	8
9958	53
9965	4
9969	20
9970	15
9980	15
9986	15
9987	28
9992	43
9993	55
9994	10
9998	56
10000	22
10004	8
10005	16
10006	20
10007	83
10008	1
10012	7
10013	1
10018	66
10023	44
10024	19
10034	37
10040	102
10045	72
10055	91
10056	18
10112	155
10113	412
10114	19
10116	2
10123	76
10124	132
10134	103
10138	1
10148	117
10157	7
10164	207
10169	9
10194	5
10202	1088
10203	113
10213	17
10239	6
10248	9
10254	912
10255	35
10262	1
10264	3
10274	13
10275	1
10276	53
10286	20
10287	243
10292	32
10297	76
10304	4
10306	1
10311	31
10314	1
10316	58
10340	8
10354	3
10357	21
10364	3
10377	1
10380	2
10392	358
10402	4
10416	1
10421	311
10426	1
10434	1
10442	1
10452	2
10466	518
10473	2479
10519	1
10527	6
10532	7
10537	87
10571	1
10599	8
10613	4
10620	20
10632	22
10661	4
10682	1
10693	11
10700	8
10710	4
10726	15
10731	7
10740	3
10754	11
10792	15
10833	1
10840	1
10843	78
10854	2
10861	49
10890	21
10909	1
10913	13
10953	4
10955	1
10960	1
10962	18
10972	40
10979	83
10987	18
10989	115
11008	14
11037	258
11042	3
11057	5
11070	1
11072	13
11078	38
11082	1
11088	208
11095	28
11101	90
11103	570
11109	19
11117	49
11131	32
11136	351
11137	1
11141	2
11150	129
11155	1
11158	538
11160	82
11173	3111
11180	2
11183	1
11188	396
11189	1
11200	28
11205	1749
11206	50
11213	224
11214	1
11251	4
11255	10
11256	2
11268	6
11273	2
11280	1
11310	182
11315	4
11386	2
11387	1
11393	4
11435	3
11444	9
11445	8
11452	9
11460	3
11550	1
11584	1
11604	56
11650	2
11670	1
11675	1
11682	61
11692	3
11790	12
11808	33
11842	274
11857	2
11869	1
12013	16
12061	25
12084	2
12157	1
12202	6
12237	5
12265	42
12360	30
12371	5
12432	36
12539	5
12680	7
12682	1
12689	1
12704	2
12782	21
12848	1
12884	6
12916	13
12936	32
12938	1
12953	13
12955	12
12970	5
13006	45
13016	148
13041	3
13399	4
13434	5
13444	25
13481	1
13524	7
13529	1
13714	11
14211	1
14332	1
14581	14
14696	2
14713	16
14722	43
14818	46
14846	342
14847	6
14849	1
14851	14
14896	60
14902	2
14982	29
19305	89
21064	1
21090	6
21101	12
21209	1
21228	1
22392	81
22480	10
22509	46
22940	1
23160	3
23177	4
23215	1
23316	1
23396	1
23415	8
23590	1
24268	1
27893	1
28946	2
29440	1
29632	1
30933	10
30935	1
30961	9
30977	2
31266	7
31532	8
32064	22
32919	20
34740	3
34802	1
35081	7
35941	2
36169	40
36639	10
36867	1
37721	11
40343	2
40358	1
43521	29
43607	2
43633	281
43636	14
43668	82
43669	5
43779	3
43807	136
43938	5
43943	1
43948	1
43962	10
43979	1
44127	5
44170	290
44237	12
44272	10
44301	40
44306	2
44316	1
44347	2
44371	400
44372	1
44386	1
44412	50
44480	3
44482	9
44483	4
44484	1
44530	1
44601	1
44674	8
44798	1
44800	41
44812	8
44822	142
44836	27
44837	1
44856	71
45020	1
45035	13
45041	10
45160	20
45264	16
45360	2
45433	1
45819	6
46102	7
47504	9
47819	37
47967	21
47972	1
53512	2
53573	4
56394	1
58758	46
61196	22
64135	1
68133	2
68720	1
80514	1
83755	1
89923	81
89925	7
90167	1
91527	8
92872	1
94404	1
95161	3
95189	13
95301	1
95302	154
95760	37
96256	10
96326	1
96331	2
96918	2
96920	4
96976	3
99842	2
99966	1
101493	4
102402	25
102449	4
106002	10
111054	49
111576	46
111788	4
112318	47
112448	8
115669	5
117372	95
117624	89
117749	8
118178	1
118226	6
118273	1
118351	37
118361	1
120088	9
120118	1
120316	1
124377	1
125488	1
128897	9
132662	1
132983	1
133014	1
133296	1
135301	3
135795	131
135847	306
136514	4
136540	6
136897	1
136949	3
137078	2
137576	41
137698	2
137966	10
138001	10
139017	44
142250	32
143101	10
143236	7
144806	1
148328	1
149776	1
149969	4
150322	1
150941	1
151576	63
151956	4
153030	70
156504	226
157735	3
157913	1
166474	1
167083	2
167692	2
168284	210
169201	2
169728	997
169788	6
171371	1
171431	5
171474	1
178885	1
180502	1
180527	55
180988	6
181189	3
181928	2
182579	1
186236	8
186277	1
196753	1
197709	7
198354	1
198401	1
201224	80
201585	16
202481	2
202532	14
202546	318
202653	42
202808	71
202854	15
203189	196
203331	75
204758	1
204781	29
204783	2
204791	10
204801	1
204825	1
204831	9
204850	69
204853	1
204873	8
204908	1
204910	30
204937	172
204939	2
204943	4
204976	59
204981	2
204982	2
204993	9
205004	110
205005	86
205010	60
205012	12
205020	23
205030	49
205057	2275
205062	16
205073	77
205074	20
205079	10
205090	480
205112	15
205117	12
205118	2
205125	370
205130	1718
205137	169
205139	149
205162	1
205176	3
205181	382
205186	316
205192	234
205196	455
205198	16
205206	12
205208	3
205231	5
205244	4368
205245	1
205259	6990
205261	1
205276	30312
205277	1
205278	290
205292	2
205297	3
205301	36
205303	933
205304	14
205305	1
205309	616
205326	1544
205328	18392
205330	164
205332	8911
205333	1
205334	105
205356	12
205365	4
205414	3
205421	19
205429	2
205431	8
205446	5
205447	30
205448	1
205452	49
