Insertion,Orientation,Frequency
2725,plus,3
2759,plus,11
2779,plus,1
5331,minus,6
5332,minus,1
5335,plus,40
5337,minus,5
5344,minus,22
5368,plus,1
5373,plus,979
5376,minus,5
5381,minus,35
5386,minus,200
5386,plus,46
5393,plus,1143
5394,plus,4
5401,minus,69
5401,plus,3
5403,plus,1504
5411,minus,32
5415,plus,4
5416,plus,2
5418,minus,1
5422,plus,9581
5423,minus,39
5429,plus,2843
5435,plus,7841
5437,minus,149
5441,minus,22
5443,minus,60
5476,plus,1
5479,minus,3
5481,plus,3175
5482,plus,1
5489,minus,37
5490,minus,87
5495,plus,1
5497,minus,20
5502,minus,11
5510,plus,261
5512,plus,1
5516,plus,12
5518,minus,281
5519,plus,284
5520,plus,1
5523,plus,1
5526,plus,13364
5528,minus,27
5534,minus,1478
5537,plus,8
5539,minus,728
5542,plus,29
5544,minus,68
5545,minus,89
5550,minus,212
5550,plus,1
5553,minus,193
5560,minus,312
5571,minus,135
5572,minus,8
5582,plus,2
5587,plus,60
5590,minus,1005
5592,plus,661
5595,minus,1
5596,minus,1
5597,plus,339
5599,plus,1
5600,minus,1
5605,minus,2704
5605,plus,1
5607,plus,793
5610,minus,2835
5615,minus,3406
5616,plus,329
5617,plus,2
5618,plus,177
5620,minus,958
5623,minus,336
5624,minus,3
5626,minus,327
5631,plus,41
5638,minus,37
5638,plus,340
5639,minus,183
5639,plus,46
5640,plus,6
5645,minus,293
5645,plus,568
5646,minus,176
5647,minus,25
5647,plus,1003
5648,minus,1043
5652,plus,3
5653,minus,12070
5655,minus,6422
5660,minus,101
5665,minus,1435
5671,minus,1
5675,plus,26
5677,minus,43
5687,plus,120
5692,plus,140
5700,minus,3
5701,plus,246
5705,minus,1
5706,minus,126
5709,minus,6646
5711,minus,26979
5711,plus,3
5712,minus,5
5716,plus,1
5719,minus,4
5721,plus,82
5724,minus,63
5727,plus,10
5728,plus,9
5729,minus,659
5730,plus,1
5732,plus,40
5734,minus,4339
5735,minus,1155
5736,minus,297
5737,plus,3
5738,minus,79
5740,minus,2752
5745,minus,605
5745,plus,85
5746,plus,29
5747,plus,134
5753,minus,15342
5754,minus,3
5755,minus,239
5755,plus,697
5760,plus,169
5763,minus,3
5764,minus,163
5770,plus,9
5772,plus,34
5773,minus,1
5777,plus,138
5778,minus,1
5780,minus,8
5781,minus,20
5782,plus,1
5783,plus,1
5785,minus,1
5786,minus,4
5787,plus,146
5790,minus,2
5795,minus,13154
5795,plus,1234
5796,minus,10292
5796,plus,254
5801,minus,5
5803,minus,19502
5803,plus,119
5804,minus,30583
5806,minus,911
5808,plus,56
5811,minus,22344
5815,minus,2
5816,minus,21869
5816,plus,101
5821,minus,11
5821,plus,141
5824,minus,6392
5829,minus,62885
5830,minus,1
5831,plus,14
5837,minus,24
5845,minus,361
5846,minus,1503
5847,minus,26401
5848,minus,14
5865,minus,2113
5867,plus,38
5875,minus,11835
5876,minus,407
5884,plus,83
5885,plus,18
5887,minus,31339
5888,minus,1
5889,plus,17
5892,minus,210
5892,plus,1
5893,minus,24731
5894,minus,5
5894,plus,78
5902,minus,11804
5915,minus,15731
5928,plus,2
5930,plus,38
5936,minus,29
5936,plus,302
5943,minus,3
5944,minus,49
5949,plus,57
5951,minus,76
5953,plus,206
5954,minus,1
5954,plus,40
5959,plus,282
5962,minus,36
5964,plus,849
5966,minus,53
5967,minus,1
5972,minus,52
5978,minus,17
5979,plus,7
5987,minus,11
6026,plus,1
6028,plus,4
6034,minus,10
6036,minus,194
6037,minus,222
6045,plus,127
6060,minus,44
6076,minus,1
6080,plus,2
6106,plus,76
6109,minus,1
6131,minus,1
6139,minus,2
6162,plus,1
6165,minus,6
6186,minus,2
6192,minus,473
6196,minus,73
6214,minus,127
6217,plus,22
6225,minus,15
6230,minus,16
6244,minus,710
6248,plus,68
6256,minus,125
6281,minus,477
6282,minus,1
6293,minus,55
6317,minus,3
6318,minus,121
6321,plus,3
6353,plus,5
6449,minus,8
6468,minus,15
6476,plus,4
6477,minus,1
6505,minus,120
6506,minus,2
6521,minus,124
6527,minus,1
6546,minus,6
6551,minus,52
6571,minus,35
6612,minus,83
6635,minus,2
6660,plus,15
6668,minus,60
6734,minus,37
6739,minus,19
6775,minus,5
6776,minus,1
6786,minus,616
6800,plus,14
6803,minus,1
6803,plus,5
6806,minus,37
6808,minus,116
6823,minus,2
6834,minus,23
6860,plus,164
6893,plus,18
6956,plus,99
7001,plus,1
7013,plus,3
7018,plus,11
7031,plus,1
7051,plus,6
7079,minus,1
7110,minus,1
7110,plus,3
7139,plus,4
7150,minus,7
7151,minus,224
7154,plus,3
7175,minus,1
7180,plus,51
7188,minus,85
7195,minus,1
7243,plus,4
7251,minus,1
7252,minus,1
7270,plus,63
7272,plus,1
7285,plus,550
7292,plus,351
7300,minus,46
7310,minus,1
7313,plus,1
7314,plus,14
7316,plus,2
7323,plus,7
7325,plus,3
7331,plus,9
7341,minus,37
7358,plus,1
7360,plus,16
7396,minus,2
7461,plus,181
7464,minus,217
7469,minus,22
7476,plus,5
7483,plus,12
7484,minus,24
7486,plus,3
7487,plus,45
7488,plus,99
7491,minus,1
7495,minus,40
7496,minus,202
