Insertion	Frequency
5401	975
5411	276
5430	3681
5437	990
5443	2592
5489	929
5518	133
5524	12
5527	186
5531	1
5534	4743
5600	231
5605	147
5613	1
5615	460
5624	108
5626	91
5639	13
5646	48
5647	25
5653	267
5655	414
5683	15
5695	27
5700	81
5709	223
5729	59
5740	17
5753	18
5754	2
5755	31
5763	181
5768	90
5778	2
5780	1
5785	83
5795	127
5803	324
5804	15
5811	72
5816	1
5824	2
5829	10
5875	12
5892	49
5893	4
5897	6
5902	60
5938	27
5944	130
5957	3
5961	43
5962	2
5967	58
5972	419
5987	3
6053	6
6256	7
6361	5
6484	1
6668	8
6868	12
6901	11
6964	11
7009	1
7026	5
7039	1
7147	3
7188	13
7251	4
7278	31
7293	160
7300	27
7322	6
7339	2
7366	1
7368	14
7469	64
7491	11
7494	1
7495	6
7496	39
7513	5
7551	2
7656	7
7670	2
7676	4
7750	1
7769	9
7811	1
7816	12
7845	10
7851	6
7919	4
7951	1
7961	5
8038	1
8078	12
8140	10
8226	1
8276	5
8322	26
8330	281
8390	1
8402	8
8407	62
8445	54
8466	2
8476	29
8481	545
8508	11
8550	37
8555	874
8557	5
8565	1
8572	62
8601	1787
8629	230
8650	41
8662	119
8663	2
8665	18
8674	17
8675	1
8693	190
8694	37
8699	1
8705	1
8708	23
8725	33
8733	38
8736	1
8746	3
8752	18
8762	14
8770	2
8785	57
8786	24
8791	6
8792	2
8797	49
8801	4
8810	6
8811	11
8840	4
8868	5
8906	1
8908	1
8911	7
8912	2
8965	8
8970	1
8979	31
8982	17
8985	211
8992	1300
9001	24
9002	105
9003	2
9007	1
9013	20
9014	748
9015	1
9016	6
9023	35
9026	175
9032	20
9049	15
9061	126
9064	463
9066	69
9067	156
9072	137
9079	83
9085	320
9096	7
9099	1
9100	278
9110	20
9117	3
9125	88
9126	9
9132	13
9134	5
9137	77
9142	427
9147	253
9151	1
9152	25620
9158	228
9163	458
9164	3
9165	125
9176	139
9181	168
9186	11
9191	710
9200	19
9210	231
9225	649
9226	142
9239	158
9250	3
9255	115
9260	120
9269	6
9271	100
9272	35
9277	13
9279	15
9289	2
9297	338
9299	171
9300	6
9305	15
9314	12
9326	1
9330	139
9335	39
9338	103
9343	96
9347	9
9348	257
9356	17
9357	31
9380	16
9387	2
9390	73
9394	41
9401	42
9404	43
9405	8
9408	6
9415	36
9420	3
9423	33
9433	177
9450	698
9452	39
9460	39
9468	8
9484	5
9492	11
9493	7
9497	44
9509	2
9517	17
9518	1
9522	2
9585	1
9598	1
9641	3
9653	1
9656	32
9667	3
9675	10
9690	71
9692	4
9704	25
9710	45
9714	3
9716	6
9737	1
9747	13
9752	12
9753	41
9762	33
9769	70
9772	14
9773	30
9777	13
9787	20
9792	132
9797	12
9801	1
9805	1
9818	4
9819	594
9823	14
9824	86
9826	1
9830	1
9833	1
9834	27
9835	4
9838	11
9857	1
9870	367
9880	21
9885	20
9897	41
9898	8
9900	1
9902	266
9910	2
9913	104
9916	11
9918	124
9934	33
9966	50
9973	1
9978	74
9988	3
9989	19
9994	32
9995	54
10000	59
10001	37
10002	14
10006	18
10007	8
10008	31
10014	100
10015	17
10020	3
10025	24
10026	90
10032	48
10042	1
10048	29
10053	20
10055	3
10063	2
10065	9
10071	11
10120	1
10121	39
10146	1
10151	1
10172	18
10200	52
10209	17
10210	25
10221	2
10228	14
10256	7
10262	236
10263	1
10277	4
10278	5
10282	21
10293	163
10294	223
10295	61
10296	41
10300	1
10324	58
10329	4
10348	12
10352	13
10354	1
10357	2
10365	22
10375	108
10388	347
10400	16
10410	42
10424	52
10429	5
10432	10
10437	4
10442	46
10450	4
10460	2
10474	17
10481	4
10527	2
10545	1
10569	108
10579	1
10592	10
10593	2
10640	1
10656	2
10701	2
10717	1
10719	15
10729	103
10734	1
10735	1
10762	33
10800	2
10802	1
10846	102
10851	39
10852	226
10869	79
10870	165
10874	806
10876	89
10949	15
10960	70
10968	5
10970	8
10995	4
10997	493
11031	9
11045	55
11050	211
11065	666
11070	117
11078	124
11080	634
11086	60
11090	5
11091	27
11095	1
11096	1576
11102	20
11109	1
11111	160
11120	88
11142	1
11144	25
11158	67
11166	427
11168	323
11181	1165
11196	1
11204	41
11208	90
11213	268
11221	128
11229	109
11239	71
11244	8
11254	24
11259	1
11263	12
11264	805
11268	7
11271	30
11281	262
11282	18
11287	57
11288	11
11292	36
11301	2
11318	90
11323	67
11329	11
11340	96
11348	1
11349	103
11394	37
11395	34
11408	36
11410	4
11432	13
11438	2
11439	2
11443	14
11445	1
11448	1
11452	1
11453	5
11458	2
11460	2
11466	4
11480	1
11487	16
11501	1
11512	12
11519	18
11538	9
11553	2
11566	24
11573	2
11588	2
11592	4
11611	13
11612	90
11617	1
11622	2
11627	1
11665	1
11683	1
11689	1
11690	3
11700	5
11722	31
11738	110
11749	124
11755	1
11774	65
11790	207
11798	38
11805	7
11815	343
11825	76
11832	217
11844	16
11845	179
11850	960
11855	439
11857	7
11858	8
11864	498
11865	323
11873	7
11889	217
11895	16
11906	101
11908	70
11916	34
11919	116
11921	1185
11922	20
11927	64
11937	5
11938	246
11942	166
11964	154
11986	76
11991	27
12003	61
12021	12
12028	38
12046	130
12059	13
12069	238
12080	42
12082	209
12092	11
12108	7
12115	8
12117	31
12184	3
12201	19
12263	2
12273	14
12294	8
12459	6
12469	15
12498	1
12547	63
12622	23
12738	12
12968	1
13140	123
13141	5
13154	6
13569	1
13797	1
13856	1
13939	2
14041	23
14071	17
14192	1
14238	15
14358	5
14417	1
14436	2
14539	59
